Ano de exibição;Título da Obra
2012;Raul, O Início, O Fim E O Meio
2012;Reis E Ratos
2012;Relação Explosiva
2012;Resident Evil: Retribuição
2012;Rock Of Ages: O Filme
2012;Romance De Formação
2012;Rota Irlandesa
2012;Ruby Sparks: A Namorada Perfeita
2012;Sagrado Segredo
2012;Santos, 100 Anos De Futebol Arte
2012;São Paulo Companhia De Dança
2012;Selvagens
2012;Separados Pelo Inverno
2012;Sete Dias Com Marilyn
2012;Shame
2012;Sherlock Holmes: O Jogo Das Sombras
2012;Slovenian Girl
2012;Soberano 2 – A Heróica Conquista Do Mundial De 2005
2012;Solteiros Com Filhos
2012;Sombras Da Noite
2012;Sonhos Em Movimento
2012;Sudoeste
2012;Tão Forte E Tão Perto
2012;Ted
2012;Testemunha 4
2012;Tinker Bell E O Segredo Das Fadas
2012;Tomboy
2012;Totalmente Inocentes
2012;Três Histórias, Um Destino
2012;Tropicália
2012;Tudo O Que Desejamos
2012;Tudo Que Eu Amo
2012;Um Alguém Apaixonado
2012;Um Divã Para Dois
2012;Um Evento Feliz
2012;Um Homem De Sorte
2012;Um Homem Qualquer
2012;Um Método Perigoso
2012;Um Verão Escaldante
2012;Uma Longa Viagem (2012)
2012;Vale Dos Esquecidos
2012;Valente
2012;Verão Em L.A
2012;Viagem 2 - A Ilha Misteriosa
2012;Violeta Foi Para O Céu
2012;Virando Bicho
2012;Viúvas
2012;Vizinhos Imediatos De 3º Grau
2012;Vou Rifar Meu Coração
2012;W.E.- O Romance Do Século
2012;Weekend
2012;Xingu
