Ano de Lançamento, 1983.. O Ano Azul 
2010, Wall Street: O Dinheiro Nunca Dorme 
2010, Zona Verde 
2010, Zumbilândia 
2010, 11-11-11 
2011, 127 Horas 
2011, 180º 
2011, 2012 - Tempo De Mudança 
2011, 4 X Timão - A Conquista Do Tetra 
2011, A Alegria 
2011, A Antropóloga 
2011, A Árvore 
2011, A Árvore Da Vida 
2011, A Árvore Do Amor 
2011, A Casa 
2011, A Casa De Sandro 
2011, A Casa Dos Sonhos 
2011, A Chave De Sarah 
2011, A Condenação 
2011, A Criança Da Meia-Noite 
2011, A Despedida 
2011, A Falta Que Nos Move 
2011, A Fera 
2011, A Fuga Da Mulher Gorila 
2011, A Garota Da Capa Vermelha 
2011, A Hora Do Espanto 
2011, A Inquilina 
2011, À Margem Do Lixo 
2011, A Minha Versão Do Amor 
2011, A Missão Do Gerente De Recursos Humanos 
2011, A Morte E Vida De Charlie 
2011, A Pele Que Habito 
2011, A Saga Crepúsculo: Amanhecer - Parte 2 
2011, A Serbian Film - Terror Sem Limites 
2011, A Última Estação (2011) 
2011, A Última Estrada Da Praia 
2011, A Viagem De Lucia 
2011, Adeus, Primeiro Amor 
2011, Água Para Elefantes 
2011, Além Da Estrada 
2011, Além Da Vida 
2011, Amanhã Nunca Mais 
2011, Amizade Colorida 
2011, Amor A Toda Prova 
2011, Amor E Outras Drogas 
2011, Amor? 
2011, Amores Imaginários 
2011, Animais Unidos Jamais Serão Vencidos 
2011, Apollo 18 
2011, As Aventuras De Sammy 
2011, As Canções 
2011, As Doze Estrelas 
2011, As Mães De Chico Xavier 
2011, As Praias De Agnès 
2011, As Viagens De Gulliver 
2011, Assalto Ao Banco Central 
2011, Assalto Em Dose Dupla 
2011, Assassino A Preço Fixo 
2011, Atividade Paranormal 3 
2011, Atividade Paranormal Em Tóquio 
2011, Avenida Brasília Formosa 
2011, Bahêa Minha Vida 
2011, Balada Triste 
2011, Bebês 
2011, Belair 
2011, Besouro Verde 
2011, Biutiful 
2011, Bollywood Dream – O Sonho Bollywoodiano 
2011, Borboletas Negras 
2011, Brasil Animado 3D 
2011, Bravura Indômita 
2011, Broder 
2011, Bruna Surfistinha 
2011, Burlesque 
2011, Caça Às Bruxas 
2011, Caminho Da Liberdade 
2011, Caminho Para O Nada 
2011, Capitães Da Areia 
2011, Capitão América: O Primeiro Vingador 
2011, Carros 2 
2011, Chantal Akerman, De Cá 
2011, Chuva 
2011, Cilada.Com 
2011, Cinco Dias Sem Nora 
2011, Cisne Negro 
2011, Como Arrasar Um Coração 
2011, Como Você Sabe 
2011, Compramos Um Zoológico 
2011, Conan - O Bárbaro 
2011, Confiar 
2011, Contágio 
2011, Contra O Tempo 
